id,name,rxn_str,kegg_id,bigg_id,ec_number,notes
PYRDC,Pyruvate decarboxylase,h_c + pyr_c <=> acald_c + co2_c,R00224,PYRDC,,
ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <=> acald_c + h_c + nadh_c,R00754,ALCD2x,,
LDH_D,D-lactate dehydrogenase,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,R00704,LDH_D,,
PTAr,Phosphotransacetylase,accoa_c + pi_c <=> actp_c + coa_c,R00230,PTAr,,
ACKr,Acetate kinase,ac_c + atp_c <=> actp_c + adp_c,R00315,ACKr,,
CS,Citrate synthase,accoa_c + h2o_c + oaa_c <=> cit_c + coa_c + h_c,R00351,CS,,
ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",cit_c <=> acon_C_c + h2o_c,R01325,ACONTa,,
ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",acon_C_c + h2o_c <=> icit_c,R01900,ACONTb,,
ICDHx,Isocitrate dehydrogenase (NAD),icit_c + nad_c <=> akg_c + co2_c + nadh_c,R00709,ICDHx,,
AKGDH,2-Oxogluterate dehydrogenase,akg_c + coa_c + nad_c <=> co2_c + nadh_c + succoa_c,R08549,AKGDH,,
SUCOAS,Succinyl-CoA synthetase (ADP-forming),atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c,R00405,SUCOAS,,
SUCCORED,succinate:NAD+ oxidoreductase,succ_c + nad_c <=> fum_c + nadh_c + h_c,R00402,SUCCORED,,
FUM,Fumarase,fum_c + h2o_c <=> mal__L_c,R01082,FUM,,
LDH_L,L-lactate dehydrogenase,lac__L_c + nad_c <=> h_c + nadh_c + pyr_c,R00703,LDH_L,,
